Title,Directions,Quantity,Unit01,Ingredient01,Quantity02,Unit02,Ingredient02,Quantity03,Unit03,Ingredient03,Quantity04,Unit04,Ingredient04,Quantity05,Unit05,Ingredient05,Quantity06,Unit06,Ingredient06,Quantity07,Unit07,Ingredient07,Quantity08,Unit08,Ingredient08,Quantity09,Unit09,Ingredient09,Quantity10,Unit10,Ingredient10,Quantity11,Unit11,Ingredient11,Quantity12,Unit12,Ingredient12,Quantity13,Unit13,Ingredient13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Ingredient15,Quantity16,Unit16,Ingredient16,Quantity17,Unit17,Ingredient17,Quantity18,Unit18,Ingredient18,Quantity19,Unit19,Ingredient19,Category,ingredients,tokenized_ingr,ingr_json
Sherry Wine Cake,Beat for 5 minutes. Bake for 45 minutes at 350 degrees in angel food pan that has been greased and floured. Turn to 300 degrees after 20 minutes.,1,pkg,yellow cake mix,1,pkg,instant vanilla pudding,4,nan,eggs, 3/4,cup,oil, 3/4,cup,sherry cooking wine,1,tsp,nutmeg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,yellow cake mix;instant vanilla pudding;eggs;oil;sherry cooking wine;nutmeg;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['yellow', 'cake', 'mix', ';', 'instant', 'vanilla', 'pudding', ';', 'eggs', ';', 'oil', ';', 'sherry', 'cooking', 'wine', ';', 'nutmeg', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Special Prune Cake*,"Blend sugar and oil. Add beaten eggs. Add dry ingredients with buttermilk. Add vanilla, prunes, and nuts. Pour into buttered pan about 12""x8"" in size. Bake at 300 degrees for 45 minutes. When cake is done and brown remove from oven and while still hot cover with icing. Icing Directions: Put all ingredients in medium saucepan and boil to soft ball stage. This will take 15 or 20 minutes, so start this before cake is to come out of the oven so icing may be poured on to cake immediately. Leave in pan, cut in squares to serve.",3,nan,eggs,1,cup,oil,1 1/2,cups,sugar,1,tsp. each,"nutmeg, cinnamon, and allspice",2,cups,flour, 1/4,tsp,salt,1,tsp,soda, 1/2,tsp,baking powder,1,cup,buttermilk,1,tsp,vanilla,1,cup,cooked prunes, 1/2,cup,chopped nuts,1,cup,sugar, 1/2,cup,buttermilk, 1/2,tsp,soda water,1,tbsp,white corn syrup, 1/4,cup,butter,1,tsp,vanilla,nan,nan,nan,cakes,"eggs;oil;sugar;nutmeg, cinnamon, and allspice;flour;salt;soda;baking powder;buttermilk;vanilla;cooked prunes;chopped nuts;sugar;buttermilk;soda water;white corn syrup;butter;vanilla;nan","['eggs', ';', 'oil', ';', 'sugar', ';', 'nutmeg', ',', 'cinnamon', ',', 'and', 'allspice', ';', 'flour', ';', 'salt', ';', 'soda', ';', 'baking', 'powder', ';', 'buttermilk', ';', 'vanilla', ';', 'cooked', 'prunes', ';', 'chopped', 'nuts', ';', 'sugar', ';', 'buttermilk', ';', 'soda', 'water', ';', 'white', 'corn', 'syrup', ';', 'butter', ';', 'vanilla', ';', 'nan']","['sugar', 'flour', 'eggs']"
Spicy Fruit and Nut Cake*,"Bake in greased and floured 9"" bundt pan at 350 degrees for 45-50 minutes. Cool 15 minutes. Loosen around edges with thin spatula. Pierce with a wooden pick. Glaze directions: Cook glaze ingredients over medium heat until full boil and butter melts. Ladle glaze over cake.",1,cup,chopped pitted prunes,1,cup,walnuts,2,cups,flour,1,tsp,baking soda,1 1/2,tsps,cinnamon,1 1/2,tsps,nutmeg,1,tsp,allspice, 1/4,tsp,salt,2,cups,flour,1,cup,vegetable oil,1,cup,buttermilk,3,nan,eggs, 1/2,cup,sugar, 1/2,cup,buttermilk, 1/2,tsp,soda, 1/4,cup,unsalted butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,chopped pitted prunes;walnuts;flour;baking soda;cinnamon;nutmeg;allspice;salt;flour;vegetable oil;buttermilk;eggs;sugar;buttermilk;soda;unsalted butter;nan;nan;nan,"['chopped', 'pitted', 'prunes', ';', 'walnuts', ';', 'flour', ';', 'baking', 'soda', ';', 'cinnamon', ';', 'nutmeg', ';', 'allspice', ';', 'salt', ';', 'flour', ';', 'vegetable', 'oil', ';', 'buttermilk', ';', 'eggs', ';', 'sugar', ';', 'buttermilk', ';', 'soda', ';', 'unsalted', 'butter', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'eggs']"
Strawberry Spice Loaf,"Bake in two 9"" loaf pans, greased and floured, at 350 degrees for one hour.",3,cups,berries,3,cups,flour,2,cups,sugar,1,tsp,salt,3,tsps,cinnamon,1,tsp,nutmeg,1,tsp,soda water,1 1/4,cups,oil,4,nan,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,berries;flour;sugar;salt;cinnamon;nutmeg;soda water;oil;eggs;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['berries', ';', 'flour', ';', 'sugar', ';', 'salt', ';', 'cinnamon', ';', 'nutmeg', ';', 'soda', 'water', ';', 'oil', ';', 'eggs', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'eggs']"
Three Layer Chocolate Mayonnaise Cake,"Grease three 9"" layer pans, one with waxed paper. Sift dry ingredients into large bowl. Stir in mayonnaise. Stir in water and vanilla until smooth. Pour into pans. Bake at 350 degrees for 30 minutes. Cool. Frost with chocolate frosting.",4 1/2,cups,flour,2 1/4,cups,sugar, 1/2,cups,cocoa,3 1/2,tsps,baking powder,2 1/4,tsps,baking soda,2 1/4,cups,Best Foods Mayonnaise,2 1/4,cups,water,2 1/4,tsps,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,flour;sugar;cocoa;baking powder;baking soda;Best Foods Mayonnaise;water;vanilla;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['flour', ';', 'sugar', ';', 'cocoa', ';', 'baking', 'powder', ';', 'baking', 'soda', ';', 'Best', 'Foods', 'Mayonnaise', ';', 'water', ';', 'vanilla', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'cocoa']"
Two Layer Chocolate Mayonnaise Cake,"Grease two 9"" layer pans, line with waxed paper. Sift dry ingredients into large bowl. Stir in mayonnaise. Stir in water and vanilla until smooth. Pour into pans. Bake at 350 degrees for 30 minutes. Cool. Frost with chocolate frosting.",3,cups,flour,1 1/2,cups,sugar, 1/3,cup,cocoa,2 1/4,tsps,baking powder,1 1/2,tsps,baking soda,1 1/2,cups,Best Foods Mayonnaise,1 1/2,cups,water,1 1/2,tsps,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,flour;sugar;cocoa;baking powder;baking soda;Best Foods Mayonnaise;water;vanilla;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['flour', ';', 'sugar', ';', 'cocoa', ';', 'baking', 'powder', ';', 'baking', 'soda', ';', 'Best', 'Foods', 'Mayonnaise', ';', 'water', ';', 'vanilla', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'cocoa']"
Upside Down Cake,"Melt butter in oven-proof skillet. Add brown sugar. Arrange fruit in pan. To make cake batter, beat eggs about 5 minutes until thick and lemon colored. Gradually add sugar. Then add all at once fruit juice an vanilla. Sift together and beat in flour, baking powder, and salt. Pour batter over fruit an bake until done, about 45 minutes at 350 degrees.", 1/3,cup,butter, 1/2,cup,brown sugar,2,nan,eggs, 2/3,cup,sugar,6,tbsp,fruit juice,1,tsp,vanilla,1,cup,sifted flour, 1/3,tsp,baking powder, 1/4,tsp,salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,butter;brown sugar;eggs;sugar;fruit juice;vanilla;sifted flour;baking powder;salt;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['butter', ';', 'brown', 'sugar', ';', 'eggs', ';', 'sugar', ';', 'fruit', 'juice', ';', 'vanilla', ';', 'sifted', 'flour', ';', 'baking', 'powder', ';', 'salt', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'eggs']"
Blue Chip Cookies,Mix at low speed. Add chocolate chips and nuts by hand. Press into balls in cookie scoop. Bake at 300 degrees for 15 minutes on middle rack., 1/4,cup,cold butter, 1/2,cup,sugar, 1/2,cup,brown sugar,1,tsp,vanilla,1,nan,egg,1 1/2,cups,flour, 1/2,tsp,baking soda, 1/2,tsp,salt,1,package,chocolate chips, 1/2,cups,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,cold butter;sugar;brown sugar;vanilla;egg;flour;baking soda;salt;chocolate chips;walnuts;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['cold', 'butter', ';', 'sugar', ';', 'brown', 'sugar', ';', 'vanilla', ';', 'egg', ';', 'flour', ';', 'baking', 'soda', ';', 'salt', ';', 'chocolate', 'chips', ';', 'walnuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Bourbon Balls,"Melt chocolate in double boiler over hot water. Combine syrup and liquid. Combine crumbs, sugar, and nuts. Add chocolate mixture. Let stand 30 minutes. Shape in 1"" balls. Roll in granulated or powdered sugar. Let ripen i covered container at lest 3 days.",1,cup,semisweet chocolate chips,3,tbsp,light corn syrup, 1/2,cup,bourbon (or light cream),2 1/2,cups,crushed vanilla wafers, 1/2,cup,powdered sugar,1,cup,finely chopped walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,semisweet chocolate chips;light corn syrup;bourbon (or light cream);crushed vanilla wafers;powdered sugar;finely chopped walnuts;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['semisweet', 'chocolate', 'chips', ';', 'light', 'corn', 'syrup', ';', 'bourbon', '(', 'or', 'light', 'cream', ')', ';', 'crushed', 'vanilla', 'wafers', ';', 'powdered', 'sugar', ';', 'finely', 'chopped', 'walnuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Chocolate Crisp Bran Cookies,"Sift flour, soda, and salt. Blend butter and sugar. Add eggs and vanilla; beat well. Add All-Bran cereal and chocolate chips. Add dry ingredients, mix well. Drop by spoonful onto cookie sheet. Bake at 375 degrees about 12 minutes.",2,cups,flour, 1/2,tsp,baking soda, 1/2,tsp,salt,1,cup,margarine,1 1/2,cups,sugar,2,nan,eggs,1,tsp,vanilla,1,cup,All-Bran cereal,1,cup,chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,flour;baking soda;salt;margarine;sugar;eggs;vanilla;All-Bran cereal;chocolate chips;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['flour', ';', 'baking', 'soda', ';', 'salt', ';', 'margarine', ';', 'sugar', ';', 'eggs', ';', 'vanilla', ';', 'All-Bran', 'cereal', ';', 'chocolate', 'chips', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['flour', 'sugar', 'eggs']"
Chocolate Peanut Brunch Bars,Blend first 5 ingredients until it resembles corn meal. Add egg and vanilla. Mix well. Press firmly into ungreased jelly roll pan. Bake at 350 degrees for 25 minutes. Cool slightly. Melt chocolate over hot water. Stir in peanut butter and cereal. Spread on cookie dough. Let stand until chocolate sets. Cut into 35 bars.,3,cups,flour,1 1/4,cups,brown sugar, 1/2,cup,margarine, 1/3,cup,crunchy peanut butter, 1/4,tsp,salt,1,nan,"egg yolk, beaten",1,tsp,vanilla,1,cup,chocolate chips, 1/2,cup,crunchy peanut butter,1 1/2,cups,Special K cereal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,"flour;brown sugar;margarine;crunchy peanut butter;salt;egg yolk, beaten;vanilla;chocolate chips;crunchy peanut butter;Special K cereal;nan;nan;nan;nan;nan;nan;nan;nan;nan","['flour', ';', 'brown', 'sugar', ';', 'margarine', ';', 'crunchy', 'peanut', 'butter', ';', 'salt', ';', 'egg', 'yolk', ',', 'beaten', ';', 'vanilla', ';', 'chocolate', 'chips', ';', 'crunchy', 'peanut', 'butter', ';', 'Special', 'K', 'cereal', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Chocolate Trio Squares*,"Cream butter, mis in four, and salt. Spread in greased and floured 9"" pan. Bake 15 minutes at 350 degrees. Beat eggs and sugar until smooth. Stir in all other ingredients and blend well. Spread over first layer. Bake 350 degrees for 15 minutes. Cool in pan.Melt chocolate. Blend in syrup and water, Spread over cookies. Sprinkle on nuts. Leave in pan overnight. Cut into 36 squares.", 1/4,cup,margarine,1,cup,sifted flour, 1/4,tsp,salt,2,nan,"eggs, well beaten", 3/4,cup,light brown sugar, 1/2,cup,coconut,1,tsp,vanilla, 1/4,tsp,salt,2,tbsp,flour,1,cup,semisweet chocolate chips, 1/4,cup,light corn syrup,1,tbsp,water,nan,nan,chopped nuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,"margarine;sifted flour;salt;eggs, well beaten;light brown sugar;coconut;vanilla;salt;flour;semisweet chocolate chips;light corn syrup;water;chopped nuts;nan;nan;nan;nan;nan;nan","['margarine', ';', 'sifted', 'flour', ';', 'salt', ';', 'eggs', ',', 'well', 'beaten', ';', 'light', 'brown', 'sugar', ';', 'coconut', ';', 'vanilla', ';', 'salt', ';', 'flour', ';', 'semisweet', 'chocolate', 'chips', ';', 'light', 'corn', 'syrup', ';', 'water', ';', 'chopped', 'nuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs', 'flour']"
Christmas Logs,"Preheat oven to 350 degrees. Put walnuts and dates through coarse blade of grinder. Combine with 1 1/2 cup coconut, sugar, and eggs. Mix well. Shape by spoonfuls into 3"" logs, 3/4"" wide. Roll in rest of coconut, coating well. Bake 10-12 minutes until golden. Cool. Makes 30 logs.",8,ounces,crushed walnuts,1,cup,pitted dates,2 1/2,cups,flake coconut,1,cup,brown sugar,2,nan,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,crushed walnuts;pitted dates;flake coconut;brown sugar;eggs;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['crushed', 'walnuts', ';', 'pitted', 'dates', ';', 'flake', 'coconut', ';', 'brown', 'sugar', ';', 'eggs', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
Christmas Snowballs,"Combine first 5 ingredients. Blend well. Stir in flour, chocolate chips, and nuts. Form 1"" balls.  Place on ungreased cookie sheet. Bake 30 minutes at 350 degrees. Roll in powdered sugar while still warm. Makes approx. 5 dozen.", 3/4,cup,butter,1,tsp,vanilla,1,tbsp,water, 1/8,tsp,salt, 1/3,cup,sugar,2,cups,flour,6,oz.,chocolate chips,1,cup,finely chopped walnuts,nan,nan,powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,butter;vanilla;water;salt;sugar;flour;chocolate chips;finely chopped walnuts;powdered sugar;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['butter', ';', 'vanilla', ';', 'water', ';', 'salt', ';', 'sugar', ';', 'flour', ';', 'chocolate', 'chips', ';', 'finely', 'chopped', 'walnuts', ';', 'powdered', 'sugar', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Crisp Oatmeal Fruit Strips,"Beat butter and sugar together until fluffy; beat in egg. Stir flour with soda, then stir into creamed mixture with raisins and rolled oats. Mix well. Divide dough into 15 equal portions. Place 3 or 4 portions each on ungreased 12"" by 15"" baking sheet. Pinch dough to shape 8"" ropes and place at least 2 inches apart. Flatten each rope into a 2"" wide strip. Bake in a 30 degree oven until golden brown, about 10 minutes. Let cool on pan about 2 minutes, then cut each strip diagonally into 1 inch wide bars. Let cookies cool on pan then transfer from pan with a wide spatula. Store in an airtight container at room temperature up to 2 weeks. Makes about 12 dozen.",1,cup,butter or margarine,1 1/2,cups,sugar,1,nan,egg,2,cups,flour,2,tsps,soda,2,cups,raisins (or finely diced prunes or dates),1 1/4,cups,rolled oats,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,butter or margarine;sugar;egg;flour;soda;raisins (or finely diced prunes or dates);rolled oats;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['butter', 'or', 'margarine', ';', 'sugar', ';', 'egg', ';', 'flour', ';', 'soda', ';', 'raisins', '(', 'or', 'finely', 'diced', 'prunes', 'or', 'dates', ')', ';', 'rolled', 'oats', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Frosted Delights,"Sift flour, salt and baking powder together. Cream shortening with sugar until fluffy. Add eggs, vanilla and sifted ingredients and mix well. Spread batter very thin on baking sheets. Fold brown sugar into egg whites, add nuts. Spread over cookie batter. Bake at 325 degrees for 30 minutes. Cut into squares. Makes 30.",1 1/2,cups,sifted flour, 1/2,tsp,salt,1,tsp,baking soda, 1/2,cups,shortening,1,cup,granulated sugar,2,nan,eggs, 1/2,tsp,vanilla,1,cup,brown sugar,1,nan,"egg white, stiffly beaten",1,cup,chopped nuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,"sifted flour;salt;baking soda;shortening;granulated sugar;eggs;vanilla;brown sugar;egg white, stiffly beaten;chopped nuts;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sifted', 'flour', ';', 'salt', ';', 'baking', 'soda', ';', 'shortening', ';', 'granulated', 'sugar', ';', 'eggs', ';', 'vanilla', ';', 'brown', 'sugar', ';', 'egg', 'white', ',', 'stiffly', 'beaten', ';', 'chopped', 'nuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs', 'flour']"
Ginger Snap Bars,"Mix first four ingredients. Add dry ingredients with milk. Mix well. Add nuts. Pour into greased 9"" square pan. Bake at 350 degrees for 35 to 40 minutes. Cool in pan. Cut into 24 bars, roll in powdered sugar.",1,cup,brown sugar,1,nan,egg,2,tbsp,margarine, 1/4,cup,molasses,1,tsp,vanilla,1,cup,flour, 1/2,tsp,soda, 1/2,tsp,salt, 1/2,tsp,cinnamon, 1/2,tsp,ginger, 1/4,tsp,cloves, 1/2,cup,milk,1,cup,chopped nuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,brown sugar;egg;margarine;molasses;vanilla;flour;soda;salt;cinnamon;ginger;cloves;milk;chopped nuts;nan;nan;nan;nan;nan;nan,"['brown', 'sugar', ';', 'egg', ';', 'margarine', ';', 'molasses', ';', 'vanilla', ';', 'flour', ';', 'soda', ';', 'salt', ';', 'cinnamon', ';', 'ginger', ';', 'cloves', ';', 'milk', ';', 'chopped', 'nuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk']"
 Ginger Snaps,Roll in little balls. Dip in sugar and flatten with glass dipped in water. Bake at 350 degrees about 7 minutes., 3/4,cup,shortening,1,cup,brown sugar,1,nan,egg, 1/4,cup,molasses,1,tsp,ginger,1,tsp,cinnamon, 1/2,tsp,cloves,2,tsp,soda,2,cups,flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,shortening;brown sugar;egg;molasses;ginger;cinnamon;cloves;soda;flour;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['shortening', ';', 'brown', 'sugar', ';', 'egg', ';', 'molasses', ';', 'ginger', ';', 'cinnamon', ';', 'cloves', ';', 'soda', ';', 'flour', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Honey Graham Crackers,"Stir all ingredients about 3 minutes to mix well. Divide in half. Place each half on 17""x14"" baking sheet. Flatten and roll to 12"" x 10"" rectangle, dusting with flour to prevent sticking. Cut into 2"" squares. Prick with fork.Bake at 425 degrees for 8-10 minutes until lightly browned. Cut apart while hot. Cool on baking sheet. Makes 60. 50 calories each.",2,cups,flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, 1/2,cup,whole wheat flour, 1/3,cup,brown sugar, 1/2,cup,shortening, 1/2,tsp,cinnamon, 1/4,cup,honey, 1/4,cup,oil,3,tbsp,cold water,1,tsp,salt,1,tsp,baking soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,flour;nan;nan;nan;nan;nan;whole wheat flour;brown sugar;shortening;cinnamon;honey;oil;cold water;salt;baking soda;nan;nan;nan;nan,"['flour', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'whole', 'wheat', 'flour', ';', 'brown', 'sugar', ';', 'shortening', ';', 'cinnamon', ';', 'honey', ';', 'oil', ';', 'cold', 'water', ';', 'salt', ';', 'baking', 'soda', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['flour', 'sugar']"
Jello Pastel Cookies,"Mix shortening, sugar, gelatin, eggs, and vanilla. Blend in dry ingredients. Roll into 3/4"" balls. Place 3"" apart on a cookie sheet. Flatten each with the bottom of a glass dipped in sugar. Bake 6-8 minutes at 375 degrees. Makes 4 dozen.", 3/4,cup,margarine, 1/2,cup,sugar,3, oz. pkg.,fruit jello,2,eggs,nan,1,tsp.,vanilla,2 1/2,cups,flour,1,tsp.,baking powder,1,tsp.,salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cookies,margarine;sugar;fruit jello;nan;vanilla;flour;baking powder;salt;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['margarine', ';', 'sugar', ';', 'fruit', 'jello', ';', 'nan', ';', 'vanilla', ';', 'flour', ';', 'baking', 'powder', ';', 'salt', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
